,0
0,"Alameda & Bannock, Denver, CO 80223"
1,"Cantara and Wynne, Reseda, CA 91335"
2,"3477 Lily Way, 107, San Jose, CA 95134"
3,"Hancock Street and Johnson, Madison, WI 53703"
4,"1420 South Alamo, San Antonio, TX 78210"
5,"747 W Cornelia , Chicago, IL 60657"
6,"3001 Hennepin Ave w Ste 2210, Minneapolis, MN 55408-3520"
7,"Decatur and Gov. Nicholls , New Orleans, LA 70116"
8,"Bottle drop on Lancaster, Salem Or, OR 97301"
9," 2865 W. Elliott Dr, Apt A308, Spokane, WA 99224"
10,"1071 W Martin Luther King Jr Blvd, Los Angeles, CA 90007"
11,"Allstar , Draper, UT 84070"
12,"Hudson & Madrona, St Helena, CA 94574"
13,"Belmont and Columbia rds, Washington, DC 20009"
14,"14 Lexington Ave Apt 2 C, Buffalo, NY 14222"
15,"Intersection of Harris and North St (~341 North St), Boston, MA 02109"
16,"98 Van Ness St, Fenway, MA 02215"
17,"3104 172nd St. NW, Arlington, WA 98223"
18,"14 Edgewater Towne Center Unit 3A, Edgewater, NJ 07020"
19,"333 Sunol St, Unit 313, San Jose, CA 95126"
20,"6510 Tucker Avenue, Mc Lean, VA 22101"
21,"860 The City Dr, Anaheim, CA 92868"
22,"South 6th Street and Virginia Street from Apt #264 balcony, San Jose, CA 95112"
23,"2140 nw Kearney St apt414, Portland, OR 97210"
24,"2170 6th Avenue N, #201, Seattle, WA 98109"
25,"650 E Bidwell, Folsom, CA 95630"
26,"611 Dairy Ashford, Houson, TX 77079"
27,"82nd Drive @ dennys parking lot , Clackamas, OR 97267"
28,"3272 Fuhrman Ave E #218, Seattle, WA 98102"
29,"Corner of K st NW and Vermont from rack in front of Pret a Manger, Washington, DC 20002"
30,"1600 Hillcrest drive apt 2, Manhattan, KS 66502"
31,"NE 7th Ave at Weidler St, Portland, OR 97232"
32,"13425 Community Road (Walmart lot), Poway, CA 92064"
33,"2121 3rd Street Unit 0217, San Francisco, CA 94107"
34,"131 NE MLK JR., Portland, OR 97232"
